measureId,precool,reset,event_hour,alpha_1,beta_1,alpha_2,beta_2,alpha_3,beta_3
GTA-10-14-0-14-18-2-LTG-0,0,2,1,0.18420910870175508,-11.378267219697358,0.6748295574547383,-48.067593584504316,0.6748295574547383,-48.067593584504316
GTA-10-14-0-14-18-2-LTG-0,0,2,2,0.20084992504054539,-11.955881176707623,0.5760070752335916,-39.559345544302346,0.5760070752335916,-39.559345544302346
GTA-10-14-0-14-18-2-LTG-0,0,2,3,0.21857672832818514,-12.839549180610774,0.5474526302519177,-37.18272310141938,0.5474526302519177,-37.18272310141938
GTA-10-14-0-14-18-2-LTG-0,0,2,4,0.11823319668641838,-7.3471988967879085,0.4761138859698612,-33.44991876932267,0.4761138859698612,-33.44991876932267
GTA-10-14-0-14-18-3-LTG-0,0,3,1,0.18933402755977957,-11.684030765066547,0.7802878314385037,-56.05492413311232,0.7802878314385037,-56.05492413311232
GTA-10-14-0-14-18-3-LTG-0,0,3,2,0.20695318203550883,-12.32702373892703,0.7339751409409592,-51.44283222604032,0.7339751409409592,-51.44283222604032
GTA-10-14-0-14-18-3-LTG-0,0,3,3,0.225291747349174,-13.243677499273423,0.7460432377904292,-52.01530738546724,0.7460432377904292,-52.01530738546724
GTA-10-14-0-14-18-3-LTG-0,0,3,4,0.12420995441767047,-7.700249862586043,0.5933881943982712,-42.155899028144624,0.5933881943982712,-42.155899028144624
GTA-10-14-0-14-18-4-LTG-0,0,4,1,0.18985890909854547,-11.71588123538667,0.8169040788062886,-58.86688984671454,0.8169040788062886,-58.86688984671454
GTA-10-14-0-14-18-4-LTG-0,0,4,2,0.2074832936460261,-12.359091633682635,0.7986677523136857,-56.40902370327158,0.7986677523136857,-56.40902370327158
GTA-10-14-0-14-18-4-LTG-0,0,4,3,0.22625642106768104,-13.302636312115762,0.8290592619127213,-58.32214303234249,0.8290592619127213,-58.32214303234249
GTA-10-14-0-14-18-4-LTG-0,0,4,4,0.12555929606253893,-7.7817352276623835,0.6589412169017927,-47.04513770090848,0.6589412169017927,-47.04513770090848
GTA-10-14-0-14-18-5-LTG-0,0,5,1,0.1898262423261326,-11.713896751141077,0.819939376399744,-59.10092898716337,0.819939376399744,-59.10092898716337
GTA-10-14-0-14-18-5-LTG-0,0,5,2,0.2074286690812668,-12.355796527476326,0.8075242992492697,-57.09145720066919,0.8075242992492697,-57.09145720066919
GTA-10-14-0-14-18-5-LTG-0,0,5,3,0.22624490518516754,-13.301900721166481,0.8440496621653379,-59.46332200395425,0.8440496621653379,-59.46332200395425
GTA-10-14-0-14-18-5-LTG-0,0,5,4,0.1256359637758626,-7.786552246967994,0.7097680303862778,-50.936954166938236,0.7097680303862778,-50.936954166938236
