measureId,precool,reset,event_hour,alpha_1,beta_1,alpha_2,beta_2,alpha_3,beta_3
GTA-10-14-0-14-18-2-LTG-0,0,2,1,0.010569396894295202,-0.4842187027411838,0.001405083918027155,0.1891127789173186,0.001405083918027155,0.1891127789173186
GTA-10-14-0-14-18-2-LTG-0,0,2,2,0.007408137791740313,-0.31789757830319043,0.001934286511025658,0.0679769624851451,0.001934286511025658,0.0679769624851451
GTA-10-14-0-14-18-2-LTG-0,0,2,3,0.006238861575143477,-0.25760567558523956,0.001250219047922424,0.09634254846883801,0.001250219047922424,0.09634254846883801
GTA-10-14-0-14-18-2-LTG-0,0,2,4,0.008792357936561645,-0.44653730257857244,0.0014686568082904158,0.07387361391860177,0.0014686568082904158,0.07387361391860177
GTA-10-14-0-14-18-3-LTG-0,0,3,1,0.01843314132416345,-0.9076205002099914,0.002701421252411412,0.22577173654858898,0.002701421252411412,0.22577173654858898
GTA-10-14-0-14-18-3-LTG-0,0,3,2,0.012424821091660746,-0.573381836327948,0.0034889587560519328,0.05394766585137079,0.0034889587560519328,0.05394766585137079
GTA-10-14-0-14-18-3-LTG-0,0,3,3,0.010311907753542347,-0.4556316801792826,0.0020873834761931634,0.12790911046138145,0.0020873834761931634,0.12790911046138145
GTA-10-14-0-14-18-3-LTG-0,0,3,4,0.013762026726432284,-0.7153507845657507,0.0020706682085367394,0.12119987102105612,0.0020706682085367394,0.12119987102105612
GTA-10-14-0-14-18-4-LTG-0,0,4,1,0.026878471234717136,-1.3872016325756507,0.008435117996817657,-0.08170818350746757,0.008435117996817657,-0.08170818350746757
GTA-10-14-0-14-18-4-LTG-0,0,4,2,0.018140717266893078,-0.8840990737297684,0.005468751043841738,0.0037040940857171528,0.005468751043841738,0.0037040940857171528
GTA-10-14-0-14-18-4-LTG-0,0,4,3,0.015318752134688305,-0.7224941361746998,0.003265613875074407,0.1312786565320692,0.003265613875074407,0.1312786565320692
GTA-10-14-0-14-18-4-LTG-0,0,4,4,0.0188370836120087,-0.9969486467791409,0.0029858829799721725,0.1419939733504092,0.0029858829799721725,0.1419939733504092
GTA-10-14-0-14-18-5-LTG-0,0,5,1,0.03402373076934809,-1.8007514644436295,0.012382157172536809,-0.2736618618099711,0.012382157172536809,-0.2736618618099711
GTA-10-14-0-14-18-5-LTG-0,0,5,2,0.023720183882579928,-1.1918842255627595,0.007466831309032929,-0.054699754383390864,0.007466831309032929,-0.054699754383390864
GTA-10-14-0-14-18-5-LTG-0,0,5,3,0.020588278092431717,-1.0107160147944936,0.004670506175484562,0.1137492970642169,0.004670506175484562,0.1137492970642169
GTA-10-14-0-14-18-5-LTG-0,0,5,4,0.023889162094359134,-1.2846038977101375,0.004400394587393642,0.11988906719465162,0.004400394587393642,0.11988906719465162
GTA-10-14-0-14-18-6-LTG-0,0,6,1,0.040011245997708826,-2.155970912961774,0.016125005654387896,-0.4627522694945645,0.016125005654387896,-0.4627522694945645
GTA-10-14-0-14-18-6-LTG-0,0,6,2,0.029823586068299282,-1.5424450344068594,0.009040357678730087,-0.0873606252827286,0.009040357678730087,-0.0873606252827286
GTA-10-14-0-14-18-6-LTG-0,0,6,3,0.025947607208938506,-1.3118949946927827,0.006122006036867786,0.0880323252706343,0.006122006036867786,0.0880323252706343
GTA-10-14-0-14-18-6-LTG-0,0,6,4,0.028577610218231287,-1.5559790168678345,0.006187447095834699,0.06373293798860193,0.006187447095834699,0.06373293798860193
GTA-10-14-2-14-18-2-LTG-0,2,2,1,0.02004812542401224,-1.004464393105353,-0.0024404303973432485,0.6327027803490264,-0.0024404303973432485,0.6327027803490264
GTA-10-14-2-14-18-2-LTG-0,2,2,2,0.011479198890094069,-0.5304677935413089,0.0013006947423748725,0.19218481798705056,0.0013006947423748725,0.19218481798705056
GTA-10-14-2-14-18-2-LTG-0,2,2,3,0.009005948976579718,-0.39583219722733753,0.0005753663085110188,0.20612764548735743,0.0005753663085110188,0.20612764548735743
GTA-10-14-2-14-18-2-LTG-0,2,2,4,0.011576352231416252,-0.5955524443648472,0.0006885763643841142,0.18412321405441143,0.0006885763643841142,0.18412321405441143
GTA-10-14-2-14-18-3-LTG-0,2,3,1,0.02752471073330555,-1.4251876431169073,0.003828803986488086,0.2731675962530897,0.003828803986488086,0.2731675962530897
GTA-10-14-2-14-18-3-LTG-0,2,3,2,0.01672903876049939,-0.8070795658650045,0.003157248486228841,0.1513307051995669,0.003157248486228841,0.1513307051995669
GTA-10-14-2-14-18-3-LTG-0,2,3,3,0.013442209061432224,-0.6214535801864378,0.0015154321897153883,0.22831625457411842,0.0015154321897153883,0.22831625457411842
GTA-10-14-2-14-18-3-LTG-0,2,3,4,0.016606824521907232,-0.871264255530102,0.0012530953012985845,0.2331479432841348,0.0012530953012985845,0.2331479432841348
GTA-10-14-2-14-18-4-LTG-0,2,4,1,0.034178006121754284,-1.8104242139107194,0.00818110006079047,0.04859406057375902,0.00818110006079047,0.04859406057375902
GTA-10-14-2-14-18-4-LTG-0,2,4,2,0.02214884268900074,-1.102082338924507,0.004945684944267173,0.10998867508366511,0.004945684944267173,0.10998867508366511
GTA-10-14-2-14-18-4-LTG-0,2,4,3,0.0185219509022361,-0.8953370508649827,0.002622357917446425,0.23483493228595512,0.002622357917446425,0.23483493228595512
GTA-10-14-2-14-18-4-LTG-0,2,4,4,0.02169534830230677,-1.1582134932053678,0.002235278747430371,0.246411736988529,0.002235278747430371,0.246411736988529
GTA-10-14-2-14-18-5-LTG-0,2,5,1,0.03972912598730976,-2.13878771551364,0.011698032793843694,-0.12847315949437088,0.011698032793843694,-0.12847315949437088
GTA-10-14-2-14-18-5-LTG-0,2,5,2,0.028166988748539738,-1.444643488246527,0.006438200431388176,0.08558861765985705,0.006438200431388176,0.08558861765985705
GTA-10-14-2-14-18-5-LTG-0,2,5,3,0.023769481696965654,-1.1857702739012574,0.0038842275565408647,0.22582485589063803,0.0038842275565408647,0.22582485589063803
GTA-10-14-2-14-18-5-LTG-0,2,5,4,0.02657184041548607,-1.438717554386727,0.0036899075059325212,0.21831687914350495,0.0036899075059325212,0.21831687914350495
GTA-10-14-2-14-18-6-LTG-0,2,6,1,0.043748566007045894,-2.3803551210432694,0.0163473416557242,-0.40723425642589506,0.0163473416557242,-0.40723425642589506
GTA-10-14-2-14-18-6-LTG-0,2,6,2,0.03470128014609487,-1.8276229025254995,0.007319376622354114,0.10546795692640051,0.007319376622354114,0.10546795692640051
GTA-10-14-2-14-18-6-LTG-0,2,6,3,0.02957674042325865,-1.520196038139456,0.005248074415145056,0.20429263404079792,0.005248074415145056,0.20429263404079792
GTA-10-14-2-14-18-6-LTG-0,2,6,4,0.031166124988248844,-1.7077149688939304,0.005853502671573188,0.12876459660678655,0.005853502671573188,0.12876459660678655
