measureId,precool,reset,event_hour,alpha_1,beta_1,alpha_2,beta_2,alpha_3,beta_3
GTA-10-14-0-14-18-2-LTG-0,0,2,1,0.004666229954602985,-0.2752538111433112,0.024019709856400187,-1.7389119709428449,0.024019709856400187,-1.7389119709428449
GTA-10-14-0-14-18-2-LTG-0,0,2,2,0.0054198520073076226,-0.3198229860848902,0.020036084585211215,-1.4120569915363979,0.020036084585211215,-1.4120569915363979
GTA-10-14-0-14-18-2-LTG-0,0,2,3,0.006187973250035502,-0.3576020125404239,0.019650200528396628,-1.3704882051616052,0.019650200528396628,-1.3704882051616052
GTA-10-14-0-14-18-2-LTG-0,0,2,4,0.00199960075180138,-0.10594208903388114,0.015025251943299163,-1.0802831540203095,0.015025251943299163,-1.0802831540203095
GTA-10-14-0-14-18-3-LTG-0,0,3,1,0.004797929467085316,-0.28313585181486167,0.0275545327652438,-2.0078861780530004,0.0275545327652438,-2.0078861780530004
GTA-10-14-0-14-18-3-LTG-0,0,3,2,0.005578002148454525,-0.3294505400964897,0.025237188671802278,-1.8048141126336237,0.025237188671802278,-1.8048141126336237
GTA-10-14-0-14-18-3-LTG-0,0,3,3,0.00636794226577852,-0.3684395018314778,0.02625667179426943,-1.8659392394641199,0.02625667179426943,-1.8659392394641199
GTA-10-14-0-14-18-3-LTG-0,0,3,4,0.0021333685124638783,-0.11385904846168517,0.018524421525083417,-1.3423940808584118,0.018524421525083417,-1.3423940808584118
GTA-10-14-0-14-18-4-LTG-0,0,4,1,0.004811035898532849,-0.28393119058195093,0.028776523414012094,-2.1020407699771604,0.028776523414012094,-2.1020407699771604
GTA-10-14-0-14-18-4-LTG-0,0,4,2,0.00559135412508084,-0.3302583649698044,0.02737531940978425,-1.9692883834866102,0.02737531940978425,-1.9692883834866102
GTA-10-14-0-14-18-4-LTG-0,0,4,3,0.006393555365197239,-0.370004609765489,0.02901699901150649,-2.076149052580519,0.02901699901150649,-2.076149052580519
GTA-10-14-0-14-18-4-LTG-0,0,4,4,0.0021621342133627303,-0.11559524288879118,0.020391824750447443,-1.4827595074770392,0.020391824750447443,-1.4827595074770392
GTA-10-14-0-14-18-5-LTG-0,0,5,1,0.004810219710048607,-0.2838825540846344,0.028875937089134815,-2.1097241250383223,0.028875937089134815,-2.1097241250383223
GTA-10-14-0-14-18-5-LTG-0,0,5,2,0.005589924336698142,-0.33017267344961393,0.027662749121573054,-1.9914661342269921,0.027662749121573054,-1.9914661342269921
GTA-10-14-0-14-18-5-LTG-0,0,5,3,0.0063932284794406226,-0.36998425191191014,0.029505420611380007,-2.1133995707662088,0.029505420611380007,-2.1133995707662088
GTA-10-14-0-14-18-5-LTG-0,0,5,4,0.0021637614780819023,-0.11569787332476549,0.021770514167739178,-1.5885478646654405,0.021770514167739178,-1.5885478646654405
