site_id,site_name,short_name,construction,year_built,year_renovated,zip_code,city,state,CEC_CZ,ASHRAE_CZ,bldg_type_sub,bldg_type,number_floor,total_floor_area_ft2,conditioned_floor_area_ft2,peak_kW,hvac_type,hvac_plant,hvac_capacity,hvac_system,hvac_size_tons_sf,dr_strategy_implemented_1,dr_strategy_implemented_2,dr_strategy_implemented_3,dr_strategy_implemented_4,measure_code,baseline_model,reference
58,University of California,UC Berkeley,,1990,,94702,Berkeley,CA,3,3C,,DataCenter,,10000,,1000.00,6%,1%,5%,,,Load migration between homogeneous systems6,,,,CDA30,10/10 baselines with morning adjustment,"Ghatikar, Girish, Venkata Ganti, Nance Matson, and Mary Ann Piette. 2012. Demand Response Opportunities and Enabling Technologies for Data Centers: Findings from Field Studies."
59,Three Carnegie Plaza,,concrete,2003,,92408,San Bernardino,CA,10,3B,Office,Office,,83698,,311.00,Packaged DX Units,,2 @ 50 Ton,VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
60,Two Carnegie Plaza,,concrete,1990,,92408,San Bernardino,CA,10,3B,Office,Office,,68955,,293.00,Packaged DX Units,,"2 @ 55 Ton
2 @ 50 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
61,One Carnegie Plaza,,concrete,1988,,92408,San Bernardino,CA,10,3B,Office,Office,,62800,,368.00,Packaged DX Units,,"2 @ 55 Ton
2 @ 50 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
62,One Carnegie Plaza (smaller one),,concrete,1988,,92408,San Bernardino,CA,10,3B,Office,Office,,38808,,221.00,Packaged DX Units,,"1 @ 50 Ton
1 @ 60 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
63,One Vanderbilt,,steel frame,1988,,92408,San Bernardino,CA,10,3B,Office,Office,,73730,,445.00,Packaged DX Units,,"3 @ 55 Ton
1 @ 60 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
64,One Parkside,,steel frame,1993,,92408,San Bernardino,CA,10,3B,Office,Office,,70069,,342.00,Packaged DX Units,,4 @ 55 Ton,VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
65,Lakeside Tower,,steel frame,1990,,92408,San Bernardino,CA,10,3B,Office,Office,,112717,,558.00,Central Chiller (reciprocating),,2 @ 175 Ton,VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
66,Two Parkside,,steel frame,2001,,92408,San Bernardino,CA,10,3B,Office (90%)+Classroom (10%),Office,,80750,,417.00,Packaged DX Units,,2 @ 90 Ton,VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
67,Brier Corporate Center,,steel frame,2005,,92408,San Bernardino,CA,10,3B,Office+Data Center,Office+DataCenter,,104501,,473.00,Packaged DX Units,,"1 @ 80 Ton
2 @ 75 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
68,Vanderbilt Plaza,,steel frame,2002,,92408,San Bernardino,CA,10,3B,Office (75%)+Classroom (25%),Office,,119035,,563.00,Packaged DX Units,,"2 @ 55 Ton
2 @ 50 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
69,Inland Regional Center,,concrete,1994,,92408,San Bernardino,CA,10,3B,Office (75%)+Auditorium (25%),Office,,81079,,524.00,Packaged DX Units,,"2 @ 105 Ton
2 @ 90 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
70,CHCCC,Cigna,concrete,1999,,93277,Visalia,CA,13,3B,Office,Office,,87000,,700.00,rooftop AHU,,8@ 50Ton,VAV,,The pre-cooling and zone temperature reset strategies,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,"Xu, P, Yin, R., Brown, C., & Kim, D. E. (2009). Demand Shifting with Thermal Mass in Large Commercial Buildings in a California Hot Climate Zone."
71,TCCSB,TCCSB,steel frame,2000,,92408,San Bernadino,CA,10,3B,Office,Office,,104500,,500.00,Packaged DX Units,,,VAV,,,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,
72,Santa Rosa Federal Building,,concrete,1975,,95404,Santa Rosa,CA,2,3C,Office,Office,,80000,,350.00,chiller,,"3@ 75Ton
2@ 60Ton",VAV,,The pre-cooling and zone temperature reset strategies,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,"Xu, Peng, Haves, P., Piette, M., Berkeley National Laboratory, L., Zagreus, L., & of California at Berkeley, U. (2006). DEMAND SHIFTING WITH THERMAL MASS IN LARGE COMMERICAL BUILDINGS: FILED TESTS, SIMULATIONS AND AUDITS California Energy Commission."
73,McCuen Center One,McCuen Properties,,2008,,95864,Sacramento,CA,12,3B,Office+courtroom,Office,,84000,,300.00,rooftop package units,,,VAV,,The pre-cooling and zone temperature reset strategies,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,
74,Retail C1,Retail C1,,1990,,92101,San Diego,CA,7,3B,retail,Retail,,4000,,31.00,4 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn
fans to AUTO mode, group RTUs by two's and15 min. duty cycle. Turn off 50% of 89-Watt fluorescent fixtures and 100% 32-Watt fluorescent U-tube
fixtures. Shut off hot water heater.","Stagger out slowly to
avoid a rebound",,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
75,Retail C2,Retail C2,,1990,,92101,San Diego,CA,7,3B,retail,Retail,,5800,,59.00,4 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn fans to AUTO mode, group RTUs by two's and15 min. duty cycle. Turn off 75% of 89-Watt fluorescent fixtures and 50% 32-Watt fluorescent U-tube
fixtures. Shut off hot water heater.",Stagger out slowly to avoid a rebound,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
76,Retail C3,Retail C3,,1990,,92101,San Diego,CA,7,3B,retail,Retail,,5400,,62.00,4 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn fans to AUTO mode, group RTUs by two's and 15 min. duty cycle. Turn off 50% of 89-Watt fluorescent fixtures and 100% 32-Watt fluorescent U-tube
fixtures. Shut off hot water heater.",Stagger out slowly to avoid a rebound,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
77,Retail C4,Retail C4,,1990,,92101,San Diego,CA,7,3B,retail,Retail,,5000,,40.00,5 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn fans to AUTO mode, group RTUs by two's and 15 min. duty cycle. Turn off 50% of all lighting. Shut
off hot water heater.",Stagger out slowly to avoid a rebound,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
78,Retail C5,Retail C5,,1990,,92101,San Diego,CA,7,3B,retail,Retail,,4436,,10.00,4 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn fans to AUTO mode, group RTUs by two's and 15 min. duty cycle. Turn off 50% of 89-Watt fluorescent fixtures and 100% 32-Watt fluorescent U-tube fixtures and 100% halogen fixtures. Shut off hot
water heater.",Stagger out slowly to avoid a rebound,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
79,Retail C6,Retail C6,,1990,,92101,San Diego,CA,7,3B,retail,Retail,,23000,,112.00,1 AHU,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, disable the baler, shut off hot water heater. Turn off 50% of 59-Watt fluorescent fixtures.",No,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
80,GSA,GSA,steel frame,1993,,94612,Oakland,CA,3,3C,Office,Office,,978000,,4100.00,,,,,,"Global zone set- point increase
Direct control of fans",,,,CDB10,"OAT regression (Whole-Building Level Method)
Component Level Method","Piette, M A, Watson, D. S., Motegi, N., & Bourassa, N. (2005). Findings from the 2004 Fully Automated Demand Response Tests in Large Facilities."
81,University of California at Merced,UCM,,2005,,95340,Merced,CA,12,3B,,Education,,800000,,3000.00,,,,VAV,,chilled water storage + GTA,,,,"CDB10, CDA12","three-in-ten (3/10) baseline
morning-adjusted outside air
temperature regression (OAT_MA),","Granderson, J., Dudley, J. H., Kiliccote, S., & Piette, M. A. (2009). Chilled Water Storage System and Demand Response at the University of California at Merced and published in the Proceedings."
82,Taco Bell,,,1990,,92675,San Juan Capistrano,CA,6,3B,restaurant,Restaurant,,2200,,,,,,,,precool+GTA,,,,"CDB10, CDB11","3/10_MA
OAT_MA
3/10","Kiliccote, S, Piette, M. A., Dudley, J. H., Koch, E., & Akuacom, D. H. (2009). Open Automated Demand Response for Small Commercial Buildings."
83,SDH,UC Berkeley Sutardja Dai Hall,,2009,,94720,Berkeley,CA,3,3C,Large Commercial,Office,,141000,,480.00,,,,,,"Control of VAVs, fans, Lighting w/ a BAS",,,,"CDA40, CDA11","3/10_MA
OAT_MA
3/10","Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
84,Small Commercial 1,Small Commercial 1,,1990,,95110,San Jose,CA,4,3C,Small Commercial 1,Office,,5900,,,,,,,,"Control of Tstats
(Split system)",,,,CDB10,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
85,Small Commercial 2,Small Commercial 2,,1990,,95110,San Jose,CA,4,3C,Small Commercial 2,Office,,6250,,,,,,,,Control of Tstats,,,,CDB10,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
86,"Small Commercial
3","Small Commercial
3",,1990,,95110,San Jose,CA,4,3C,"Small Commercial
3",Office,,14400,,,,,,,,Control of Tstats,,,,CDB10,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
87,Small Commercial 4,Small Commercial 4,,1990,,95110,San Jose,CA,4,3C,Small Commercial 4,Office,,9500,,,,,,,,Control of Tstats,,,,CDB10,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
88,Residential 1,Residential 1,,1990,,95202,Stockton,CA,12,3B,Residential 1,Residential,,2076,,,,,,,,"VRV limiting -
mini split system",,,,CDA12,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
89,"Residential
2","Residential
2",,1990,,95202,Stockton,CA,12,3B,"Residential
2",Residential,,1690,,,,,,,,"compressor
off/on",,,,CDA12,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
90,"Residential
3","Residential
3",,1990,,95202,Stockton,CA,12,3B,"Residential
3",Residential,,1140,,,,,,,,"compressor
off/on",,,,CDA12,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
91,Residential 4,Residential 4,,1990,,94612,Oakland,CA,3,3C,Residential 4,Residential,,1400,,,,,,,,,,,,CDA12,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
92,McKinstry,McK,,1950,,98134,Seattle,WA,#N/A,4C,office,Office,,100000,,347.00,23 RTU,,,7VAV+16 CAV,,Uniformly turn off half of the 23 roof-top units for 15 minutes and alternate with the remaining units every 15 minutes,Stage turning on equipment every 2 minutes,,,CDA12,OAT,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
93,Target-T1284,Target,,1990,,98125,Seattle,WA,#N/A,4C,retail,Retail,,165667,,685.00,RTU,,,VAV,,"Turn off 50% of sales area lights, turn off two out of 12 roof- top units and decrease setpoints by 2 ¼F",,,,"CDB10, CDA40",Average of similar day baseline,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
94,Target-T0637,Target,,1990,,98126,Seattle,WA,#N/A,4C,retail,Retail,,99471,,225.00,RTU,,,VAV,,"Turn off 50% of sales area lights, turn off two out of 12 roof- top units and decrease setpoints by 2 ¼F",,,,"CDB10, CDA40",Average of similar day baseline,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
95,Seattle Municipal tower,SMT,,1990,,98104,Seattle,WA,#N/A,4C,office,Office,,1200000,,6168.00,48 AHU,,,690 VAV,,Decrease setpoints from 72 ¼F to 68 ¼F on selected 24 floors out of 62 floors. Cycle VAV boxes (690) and corresponding air handling units (AHUs) (48).,Set setpoints back 1¼ every 15 minutes and bring back quarter of the equipment on line every five minutes.,,,CDB10,Average of similar day baseline,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
96,Seattle University,SU,,1990,,98122,Seattle,WA,#N/A,4C,education,Education,,99840,,841.00,4 AHU,,,102 VAV,,Pre-heat at 5 am at 74 ¼F (only on the day-ahead days because pending signal for day-of events are received at 6 am) Decrease set point to 68 ¼F. Cycle cabinet heaters (7) and unit heaters (2) 20 minutes every 30 minute. Cycle through half of variable air volume (VAV)/Air terminal boxes (75) and AHU fans (4) every half hour. Set CO2 setpoint up by 200 ppm. Turn off hot water panel radiator.,"Return setpoints to original levels (maximum rate of setpoint change is 1¼ per 15 minutes) and turn half of units on, then turn remainder of units on five minutes later",,,CDB10,Average of similar day baseline,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
97,NY Office 1,,,1990,,,New York,NY,#N/A,4A,office,Office,,160000,1400000,6190.00,,,"3@1350 ton
1@900 ton",CAV with reheat,,Table 4 summarized,,,,"CDB10, CDA40, CDA13",NYISO's Weather-Sensitive Customer Baseline6,"Kim, Joyce Jihyun, Rongxin Yin, and Sila Kiliccote. 2013. LBNL-6470E Automated Demand Response Technologies and Demonstration in New York City Using OpenADR."
98,NY Office 2,,,1990,,,New York,NY,#N/A,4A,office,Office,,1700000,,3940.00,,,"1@2300 ton
1@2100 ton
1@1600 ton",VAV with reheat,,,,,,"CDB10, CDA40, CDA13",NYISO's Weather-Sensitive Customer Baseline7,"Kim, Joyce Jihyun, Rongxin Yin, and Sila Kiliccote. 2013. LBNL-6470E Automated Demand Response Technologies and Demonstration in New York City Using OpenADR."
99,NY Office 3,,,1990,,,New York,NY,#N/A,4A,office,Office,,1400000,,4640.00,VSD,,1@400 ton,VAV with reheat,,,,,,"CDB10, CDA40, CDA13",NYISO's Weather-Sensitive Customer Baseline8,"Kim, Joyce Jihyun, Rongxin Yin, and Sila Kiliccote. 2013. LBNL-6470E Automated Demand Response Technologies and Demonstration in New York City Using OpenADR."
100,NYU,,,1990,,,New York,NY,#N/A,4A,campus,Education,,122000,,600.00,VSD,,1@400 ton,VAV with reheat,,,,,,"CDB10, CDA40, CDA13",NYISO's Weather-Sensitive Customer Baseline9,"Kim, Joyce Jihyun, Rongxin Yin, and Sila Kiliccote. 2013. LBNL-6470E Automated Demand Response Technologies and Demonstration in New York City Using OpenADR."
101,71 Stevenson,71 Stevenson,,1987,,94105,San Francisco,CA,3,3C,office,Office,,323000,323000,1063.00,,,,,,global temperature adjustment of 4 ûF and static reset of 0.2 in. w.g.,,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
102,CDPH Richmond Building P,CDPH Richmond LEED Silver EStart 100,,2005,,94804,Richmond,CA,3,3C,State Government,Office,,205153,205153,1889.00,,,,,,"Global temperature adjustment of 78F, Reduce VFD speeds by 10%, Supply temperature reset of 4 degrees, Chiller water temperature increase of
6 degrees",,,,"CDB10, CDA11, CDB40, CDB20",10/10_MA_CBL,PGE ADR Project
103,CDPH Richmond Building A-K,CDPH Richmond,,2009,,94804,Richmond,CA,3,3C,State Government,Office,,492000,492000,3497.00,,,,,,"Global temperature adjustment of 78F, Reduce VFD speeds by 10%, Supply temperature reset of 4 degrees, Chiller water temperature increase of
6 degrees",,,,"CDB10, CDA11, CDB40, CDB20",10/10_MA_CBL,PGE ADR Project
104,"Kilroy LP, 100 1st Street",Kilroy LP,,1988,,94105,San Francisco,CA,3,3C,office,Office,,446490,446490,1598.00,,,,,,Reduce AHU and central plant demand to 50%,,,,"CDA11, CDA12",10/10_MA_CBL,PGE ADR Project
105,"Kilroy LP, 303 2nd Street",Kilroy LP,,1988,,94107,San Francisco,CA,3,3C,office,Office,,740047,740047,2692.00,,,,,,Reduce AHU and central plant demand to 50%,,,,"CDA11, CDA12",10/10_MA_CBL,PGE ADR Project
106,"Kilroy LP, 370 3rd Street",Kilroy LP,,1975,,94107,San Francisco,CA,3,3C,office,Office,,408331,408331,1407.00,,,,,,Reduce AHU and central plant demand to 50%,,,,"CDA11, CDA12",10/10_MA_CBL,PGE ADR Project
107,"Kilroy LP, 201 3rd Street",Kilroy LP,,1983,,94107,San Francisco,CA,3,3C,office,Office,,346538,346538,881.00,,,,,,Reduce AHU and central plant demand to 50%,,,,"CDA11, CDA12",10/10_MA_CBL,PGE ADR Project
108,VISA 800 Metro Center,Visa,,1996,,94404,Foster City,CA,3,3C,office,Office,,296086,296086,948.00,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure, Dim down lights by 30%",,,,"CDB10, CDA40, CDB50",10/10_MA_CBL,PGE ADR Project
109,VISA 900 Metro Center,Visa,,1993,,94404,Foster City,CA,3,3C,office,Office,,277767,277767,1308.00,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure, Dim down lights by 40%",,,,"CDB10, CDA40, CDB50",10/10_MA_CBL,PGE ADR Project
110,VISA 801 Metro Center,Visa,LEED,2002,,94404,Foster City,CA,3,3C,office,Office,,208398,208398,720.00,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure, Dim down lights by 40%",,,,"CDB10, CDA40, CDB50",10/10_MA_CBL,PGE ADR Project
111,VISA 901 Metro Center,Visa,,1999,,94404,Foster City,CA,3,3C,office,Office,,167436,167436,576.00,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure, Dim down lights by 40%",,,,"CDB10, CDA40, CDB50",10/10_MA_CBL,PGE ADR Project
112,VISA 800 Metro Center GTA,Visa,,1996,,94404,Foster City,CA,3,3C,office,Office,,296086,296086,948.00,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
113,VISA 900 Metro Center GTA,Visa,,1993,,94404,Foster City,CA,3,3C,office,Office,,277767,277767,1308.00,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
114,VISA 801 Metro Center GTA,Visa,LEED,2002,,94404,Foster City,CA,3,3C,office,Office,,208398,208398,720.00,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
115,VISA 901 Metro Center GTA,Visa,,1999,,94404,Foster City,CA,3,3C,office,Office,,167436,167436,576.00,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
