site_id,site_name,short_name,construction,year_built,year_renovated,zip_code,city,state,CEC_CZ,ASHRAE_CZ,bldg_type_sub,bldg_type,number_floor,total_floor_area_ft2,conditioned_floor_area_ft2,peak_kW,hvac_type,hvac_plant,hvac_capacity,hvac_system,hvac_size_tons_sf,dr_strategy_implemented_1,dr_strategy_implemented_2,dr_strategy_implemented_3,dr_strategy_implemented_4,measure_code,baseline_model,reference
12,GSA Ronald V. Dellums Oakland Federal Building,OFB,steel frame,1993,,94612,Oakland,CA,3,3C,Federal Office,Office,1,1105000,978000,4100.00,"11 AHU 
22 varaible speed fans
47 smaller CV fans",chillers,"3@980 ton
2@450 ton","perimeter: dual duct VAV with reheat
core: single duct VAV without reheat",,"Global zone setup 72 ¡F to 76 ¡F
Global zone setback 70 ¡F to 68 ¡F","Global zone setup to 78 ¡F
Global zone setback to 66 ¡F",,,"CDB10, CDB11",OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
13,Kadant Grantek,Kadant,,1989,,54304,Green Bay,Wisconsin,#N/A,6A,Material Process,Industrial,1,100000,0,1440.00,,,,,,Transfer pump off,,,,CDA13,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
14,Monterey Commerce Center,Monterey,concrete,1998,,93940,Monterey,CA,3,3C,Commercial,Office,1,170000,170000,N/A,4 RTU,,,VAV,,Lobby lights 33% off,,,,CDA40,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
15,OSIsoft,OSIsoft,,2014,,94577,San Leandro,CA,3,3C,Office,Office,1,60000,60000,300.00,3 RTU,,"2@60 ton
1@30 ton",,,Global zone setup 72 ¡F to 76 ¡F,Global zone setup to 78 ¡F,,,CDB10,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
16,Roche Palo Alto,Roche,,1965,,94304,Palo Alto,CA,4,3C,"Cafeteria
Auditorium",Restaurant,3,192000,192000,750.00,constant volume fans,chilled water is supplied by cental plant outside of the buildings,,,,Building-A2 supply fans off (50%),"Building-FS supply fans off (50%)
Building-SS supply fans off (50%)",,,CDA11,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
17,UC Santa Barbara Davidson Library,UCSB,,1926,2016,93117,Santa Barbara,CA,5,3C,Library,Library,1,289000,289000,1090.00,,virtual central plant,,,,"Supply fan VFD 70% limit 
Economizer 100% open","Supply fan VFD 60% limit
Duct static pressure reset 0.4 IWC (partial) 
Heating/cooling valve close",,,"CDA11, CDB50",OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
18,"US Postal Service, San Jose Process & Distribution Center",USPS,concrete,1998,,95110,San Jose,CA,4,3C,Distribution Center,,1,390000,390000,1630.00,"constant volume package DX units: 17.5 tons (210 MBH), 5.0 tons(60MBH)","Chillers: 364 tons x2,Constant volume CW Pumps: 20 HP x3, Constant volumeCHW Pumps: 30 HP x3, Constant Volume CHW booster pump: 10 HP x1, Constant volume Cooling tower: 2 motors in each unit (40 HP/10 HP)",2@364 ton,,,Chiller demand 75% limit,Chiller demand 50% limit,,,CDA12,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
19,Alameda County Water,ACWD,,1914,,94538,Fremont,CA,3,3C,"Office, lab",Office+Lab,1,51200,51200,347.00,,,,,,None.,"Boiler disabled
CHW setpoint raised to 50 ¡F
Current limiting to 70%. 
SAT increased from 55 ¡F to 65 ¡F for AHUs 1, 2, 3 and Lab AHU.
DSP setpoint decreased from 1.5"" to 1.0"".
Zone setpoint increased to 75 ¡F.",Zone setpoint increased to 78 ¡F,Extend shed control 2 hours(until 8 pm),"CDB10, CDB20, CDB40, CDB50",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
20,"Bank of America, Concord Technology Center",B of A,,1985,,94520,Concord,CA,12,3B,"Office, data center",Office+DataCenter,4,616000,708000,5680.00,,,,,,None.,None.,"Reduce DSP from 2.2"" to 1.4"".
Lock fan VFD 3 minutes after the DSP reset.
CHW setpoint increased
5 ¡F at the secondary loop.Lock cooling valve position at the AHU.",None.,"CDA11, CDB20, CDB50, CDB60",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
21,"Chabot Space and Science Center, Building 1&2",Chabot,,2000,,94619,Oakland,CA,3,3C,Museum,Museum,2,86000,86000,333.00,,,,,,"Free cooling when the OAT is below 62 ¡F
Pre-cooling until noon at 70 ¡F average
zone temp.","Drift zone setpoint to 74 ¡F, 4/3 ¡F each hour","Drift zone setpoint to 78F, 4/3 ¡F each hour",None.,"CDB10, CDB11",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
