site_id,site_name,data_source,short_name,construction,year_built,year_renovated,zip_code,city,state,CEC_CZ,ASHRAE_CZ,bldg_type_sub,bldg_type,number_floor,total_floor_area_ft2,conditioned_floor_area_ft2,peak_kW,hvac_type,hvac_plant,hvac_type_desc,hvac_plant_desc,hvac_capacity,hvac_system,hvac_size_tons_sf,dr_strategy_implemented_1,dr_strategy_implemented_2,dr_strategy_implemented_3,dr_strategy_implemented_4,measure_code,baseline_model,reference
11,GSA National Archives & Records Administration,field-testing,NARA,,1973,,94066,San Bruno,CA,3,3C,Archive Storage,Office,1,238000,202000,280,Chiller + AHU + VAV,,15 AHU (SF/RF set) 10-40 hp VFD (3 of them),"water cooled chillers, 2 hp pumps, one rooftop unit, 5 hp","2@30 ton
1@50 ton",,,Global zone setup 75 ¡F to 76 ¡F,Global zone setup to 78 ¡F,,,CDB10,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
12,GSA Ronald V. Dellums Oakland Federal Building,field-testing,OFB,steel frame,1993,,94612,Oakland,CA,3,3C,Federal Office,Office,1,1105000,978000,4100,Chiller + AHU + VAV,,"11 AHU 
22 varaible speed fans
47 smaller CV fans",chillers,"3@980 ton
2@450 ton","perimeter: dual duct VAV with reheat
core: single duct VAV without reheat",,"Global zone setup 72 ¡F to 76 ¡F
Global zone setback 70 ¡F to 68 ¡F","Global zone setup to 78 ¡F
Global zone setback to 66 ¡F",,,"CDB10, CDB11",OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
13,Kadant Grantek,field-testing,Kadant,,1989,,54304,Green Bay,Wisconsin,#N/A,6A,Material Process,Industrial,1,100000,0,1440,Chiller + AHU + VAV,,,,,,,Transfer pump off,,,,CDA13,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
14,Monterey Commerce Center,field-testing,Monterey,concrete,1998,,93940,Monterey,CA,3,3C,Commercial,Office,1,170000,170000,N/A,Package RTU + VAV,,4 RTU,,,VAV,,Lobby lights 33% off,,,,CDA40,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
15,OSIsoft,field-testing,OSIsoft,,2014,,94577,San Leandro,CA,3,3C,Office,Office,1,60000,60000,300,Package RTU + VAV,,3 RTU,,"2@60 ton
1@30 ton",,,Global zone setup 72 ¡F to 76 ¡F,Global zone setup to 78 ¡F,,,CDB10,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
16,Roche Palo Alto,field-testing,Roche,,1965,,94304,Palo Alto,CA,4,3C,"Cafeteria
Auditorium",Restaurant,3,192000,192000,750,Chilller + AHU + CAV,,constant volume fans,chilled water is supplied by cental plant outside of the buildings,,,,Building-A2 supply fans off (50%),"Building-FS supply fans off (50%)
Building-SS supply fans off (50%)",,,CDA11,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
17,UC Santa Barbara Davidson Library,field-testing,UCSB,,1926,2016,93117,Santa Barbara,CA,5,3C,Library,Library,1,289000,289000,1090,Chilller + AHU + CAV,,,virtual central plant,,,,"Supply fan VFD 70% limit 
Economizer 100% open","Supply fan VFD 60% limit
Duct static pressure reset 0.4 IWC (partial) 
Heating/cooling valve close",,,"CDA11, CDB50",OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
18,"US Postal Service, San Jose Process & Distribution Center",field-testing,USPS,concrete,1998,,95110,San Jose,CA,4,3C,Distribution Center,,1,390000,390000,1630,Chilller + AHU + CAV,,"constant volume package DX units: 17.5 tons (210 MBH), 5.0 tons(60MBH)","Chillers: 364 tons x2,Constant volume CW Pumps: 20 HP x3, Constant volumeCHW Pumps: 30 HP x3, Constant Volume CHW booster pump: 10 HP x1, Constant volume Cooling tower: 2 motors in each unit (40 HP/10 HP)",2@364 ton,,,Chiller demand 75% limit,Chiller demand 50% limit,,,CDA12,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
19,Alameda County Water,field-testing,ACWD,,1914,,94538,Fremont,CA,3,3C,"Office, lab",Office+Lab,1,51200,51200,347,Package RTU + VAV,,,,,,,None.,"Boiler disabled
CHW setpoint raised to 50 ¡F
Current limiting to 70%. 
SAT increased from 55 ¡F to 65 ¡F for AHUs 1, 2, 3 and Lab AHU.
DSP setpoint decreased from 1.5"" to 1.0"".
Zone setpoint increased to 75 ¡F.",Zone setpoint increased to 78 ¡F,Extend shed control 2 hours(until 8 pm),"CDB10, CDB20, CDB40, CDB50",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
20,"Bank of America, Concord Technology Center",field-testing,B of A,,1985,,94520,Concord,CA,12,3B,"Office, data center",Office+DataCenter,4,616000,708000,5680,Chiller + AHU + VAV,,Single Duct VAV with perimeter reheat,"Qty 5, 750 Ton & Qty 1, 300 Ton Electric Centrifugal Chillers",,,,None.,None.,"Reduce DSP from 2.2"" to 1.4"".
Lock fan VFD 3 minutes after the DSP reset.
CHW setpoint increased
5 ¡F at the secondary loop.Lock cooling valve position at the AHU.",None.,"CDA11, CDB20, CDB50, CDB60",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
21,"Chabot Space and Science Center, Building 1&2",field-testing,Chabot,,2000,,94619,Oakland,CA,3,3C,Museum,Museum,2,86000,86000,333,Package RTU + VAV,,,,,,,"Free cooling when the OAT is below 62 ¡F
Pre-cooling until noon at 70 ¡F average
zone temp.","Drift zone setpoint to 74 ¡F, 4/3 ¡F each hour","Drift zone setpoint to 78F, 4/3 ¡F each hour",None.,"CDB10, CDB11",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
22,"Contra Costa County, 2530 Arnold",field-testing,2530 Arnold,,1987,,94553,Martinez,CA,3,3C,Office,Office,1,131000,131000,528,Package RTU + VAV,,Single Duct VAV with perimeter reheat,"4 roof top package units with DX cooling, 60 Tons each",Each 60 Ton units have 8 equal compressor stages,,,None.,Zone setpoint increased 2 ¡F. (76 ¡F to 78 ¡F),Zone setpoint 4 ¡F up. (80 ¡F),VAV boxes are released one by one over a short interval.,CDB10,OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
23,"Contra Costa County, 50 Douglas",field-testing,50 Douglas,,1985,,94553,Martinez,CA,3,3C,Office,Office,1,90000,90000,422,Package RTU + VAV,,Single Duct VAV with perimeter reheat,3 roof top package units with DX cooling. Qty 2 at 75 Tons & one at 90 Tons,75 Ton units have 4 equal compressor stages 90 Ton unit has 6 equal compressor stages,,,None.,Zone setpoint increased 2 ¡F. (76 ¡F to 78 ¡F),Zone setpoint 4 ¡F up. (80 ¡F),VAV boxes are released one by one over a short interval.,CDB10,OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
24,"Echelon, San Jose Headquarter",field-testing,Echelon,,2001,,95126,San Jose,CA,4,3C,"Corporate
Headquarter",Office,1,75000,75000,403,Package RTU + VAV,,Single Duct VAV with perimeter reheat,"Total 4,800 tons of package units with VFD. One unit per floor. 
",,,,None.,"Hallway lighting turned off where there is ambient light
Daylit office lights turned off
Inner office lights dimmed to 20%","1 of 3 RTU turned off.
DSP reduced from 1.5"" to 0.8""
SAT increased from 55 to 65¡F.",None.,"CDA40, CDA12, CDB50, CDB40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
25,Fremont Unified School Irvington,field-testing,Irvington,,1961,,94538,Fremont,CA,3,3C,Highschool,School,1,186000,186000,N/A,Package RTU + VAV,,,,,,,"Precooling to 72 ¡F until
11:50 a.m.",Raise temperature to 78¡F until 2:50 p.m.,"Turn off systems at 2:50pm. School closes at
3pm. Office areas drift.",None.,"CDB10, CDB11",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
26,"Gilead Science, 300 Lake",field-testing,Gilead 300,,1990,,94404,Foster City,CA,3,3C,Office,Office,1,83000,83000,N/A,Package RTU + VAV,,,,,,,"Shed control
starts at 11 am.","AHU increase SAT from 55¡F
to 65 ¡F.",Same as moderate price.,None.,"CDB10, CDB40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
27,"Gilead Science, 342 Lake",field-testing,Gilead 342,,1990,,94404,Foster City,CA,3,3C,"Office, Lab",Office+Lab,1,32000,32000,464,Package RTU + VAV,,,,,,,Shed control starts at 11 am,"AHU increase SAT from 55¡F to 65 ¡F.
Zone setpoint increase to 75¡F (70 - 75 ¡F normal).",Same as moderate price.,None.,"CDB10, CDB40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
28,"Gilead Science, 357 Lake",field-testing,Gilead 357,,1990,,94404,Foster City,CA,3,3C,"Office, Lab",Office+Lab,1,33000,33000,664,Package RTU + VAV,,,,,,,Shed control starts at 11 am,"AHU SAT increased from 55¡F to 65 ¡F.
Zone setpoint increased to 75¡F (70 - 75 ¡F normal).",Same as moderate price.,None.,"CDB10, CDB40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
29,IKEA East Palo Alto Store,field-testing,IKEA,,2000,,94303,Palo Alto,CA,4,3C,Retail,Retail,1,300000,300000,2238,Package RTU,,,,,,,None.,"Zone setpoint increased 2 ¡F
at each RTU.","Zone setpoints increased
to 76 ¡F.",None.,CDB10,OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
30,LBNL OSF,field-testing,LBNL OSF,,1999,,94612,Oakland,CA,3,3C,"Data center, Office",Office+DataCenter,1,90000,70000,2189,Chiller + AHU + VAV,,,,,,,"Zone setpoint - 0 to 2¡F decrease
in the morning for pre cooling.",Zone setpoint 2 - 6 ¡F up.,Zone setpoints increased a maximum of 6 ¡F up.,None.,"CDB10, CDB11",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
31,"Oracle Corporation, Rocklin",field-testing,Oracle,,1998,,95765,Rocklin,CA,11,3B,Office,Office,2,100000,100000,808,Package RTU + VAV,,,,,,,None.,"DSP reduced 20% at supply fans.
Shut off 3 of 12 RTUs
in the sales area (building has 23 RTUs total).
Shut off 5 RTUs in the sales area after October 6th.
Limit chiller demand to 80%.","Zone setpoints increased 3¡F.
Turn off every fourth light fixture in the sales area.
Limit chiller demand to 65%.",None.,"CDA12, CDB10, CDB50, CDA40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
32,"Target, Hayward Store",field-testing,Target,,1902,,94541,Hayward,CA,3,3C,Retail,Retail,1,130000,130000,428,Package RTU + VAV,,,,,,,None.,,,None.,"CDB10, CDA40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
33,"United States Postal Service, San Jose Process and Distribution Center",field-testing,USPS,,1998,,95110,San Jose,CA,4,3C,Postal service,Office,1,390000,390000,1676,Chiller + AHU + VAV,,,,,,,None.,,,The chiller demand limit will be increased in 5% increments with 15-30 minutes per step change,CDA12,OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
34,"Bank of America, Concord",field-testing,Office/Data Center,,1985,,94520,Concord,CA,12,3B,"Office, data center",Office+DataCenter,4,616000,708000,5712,Chiller + AHU + VAV,,,,,,,,,,,"CDB20, CDB40, CDB50, CDB60, CDA11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
35,Chabot Space and Science Center,field-testing,Chabot,,2000,,94619,Oakland,CA,3,3C,Museum,Museum,2,86000,86000,336,Package RTU + VAV,,,,,,,,,,,"CDB10, CDB11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
36,MDF,field-testing,MDF,,1981,,94553,Martinez,CA,3,3C,Detention Facility,Special Facility,1,172300,172300,561,Chiller + AHU + VAV,,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
37,Fremont Unified School Centerville,field-testing,Centerville,,1980,,94536,Fremont,CA,3,3C,Junior High school,School,1,NA,NA,332,Package RTU + VAV,,,,,,,,,,,"CDB10, CDB11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
38,"IKEA, East Palo Alto Store",field-testing,IKEA,,2000,,94303,Palo Alto,CA,4,3C,Furniture retail,Retail Furniture,1,300000,300000,1191,Package RTU,,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
39,"IKEA, Emeryville Store",field-testing,IKEA,,2000,,94608,Emeryville,CA,3,3C,Furniture retail,Retail Furniture,1,274000,274000,1466,Package RTU,,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
40,Solectron Corporation,field-testing,Solectron,,1993,,95035,Milpitas,CA,3,3C,"Office, Manufacture",Office,9,499206,499206,4655,Chiller + AHU + VAV,,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
41,Svenhard's Swedish Bakery,field-testing,Svenhard's,,1988,,94612,Oakland,CA,3,3C,Bakery,Restaurant,1,101000,101000,696,Package RTU,,,,,,,,,,,CDA40,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
42,SYBASE,field-testing,Sybase,,2002,,94568,Pleasanton,CA,3,3C,Hi-tech office,Office,2,425000,425000,1995,Chiller + AHU + VAV,,,,,,,,,,,CDA40,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
43,"Target, Antioch Store",field-testing,Target Antioch,,2004,,94531,Antioch,CA,12,3B,Retail,Retail,1,140686,140686,572,Package RTU,,,,,,,,,,,"CDB10, CDA11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
44,"Target, Bakersfield Store",field-testing,Target Bakersfield,,2000,,93304,Bakersfield,CA,13,3B,Retail,Retail,1,143941,143941,645,Package RTU,,,,,,,,,,,"CDB10, CDA11, CDA40",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
45,Trane,field-testing,Trane,,2000,,95677,Rocklin,CA,11,3B,"Warehouse, office",Warehouse,,25000,,319.23,Package RTU + VAV,,Ten constant volume RTUÕs each with 2 stage compressors,,,,,"Precool, reset thermostat",,,,"CDB10, CDB11",OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
46,LimeAmps,field-testing,LimeAmps,,,,95401,Santa Rosa,CA,2,3C,Convenience store,Retail,,3531,,33.83,Package RTU,,2 single stage constant volume 4 ton units; compressors at ground level,,,,,"Duty cycle HVAC, deli counter, and ice machine",,,,"CDA12, CDA30",OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
47,LimeAmps Sebastopol,field-testing,LimeAmps,,,,95472,Sebastopol,CA,1,4C,Restaurant,Restaurant,,4200,,44.79,Package RTU,,3 packaged units: Two 5 ton units and one 4 ton unit,,,,,"Duty cycle HVAC, walk_in cooler",,,,"CDA12, CDA30",OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
48,Our Home Spaces,field-testing,,,1990,,94945,Novato,CA,2,3C,Residential,Office,,800,,6.09,Package RTU,,,,,,,Reset thermostat,,,,CDB10,OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
49,InThrMa,field-testing,,,1990,,94565,Pittsburg,CA,12,3B,Pre-school,Office,,18250,,56.96,Package RTU,,2 constant volume units,,,,,"Reset thermostats,
duty cycle appliances",,,,"CDB10, CDA30",OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
50,Lutron,field-testing,Lutron,,1990,,94612,Oakland,CA,3,3C,Small office,Office,,20000,,71.38,Package RTU,,,,,,,Reduce lighting levels by zones,,,,CDA40,OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
51,Enmetric,field-testing,Enmetric,,1990,,94303,Palo Alto,CA,4,3C,Small office,Office,,13000,,25.84,Package RTU,,,,,,,Control MELs (plug loads),,,,CDA30,OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
52,EnergyETC,field-testing,EnergyETC,,1993,,94587,Union City,CA,3,3C,Small office,Office,,2200,,6.59,Package RTU,,One constant volume single compressor RTU,,,,,Reset thermostat,,,,CDB10,OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
53,Applied Power Technologies,field-testing,Applied Power Technologies,,1974,,95008,Campbell,CA,4,3C,Small office,Office,,2070,,18.24,Package RTU,,"2 RTUÕs rated 20A and 16A, respectively",,,,,"Reduce lighting levels by zone, reset
thermostat",,,,"CDB10, CDA40",OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
54,HD Supply,field-testing,,,1990,,93901,Salinas,CA,3,3C,"Food warehouse, small retail",Retail,,6000,,25.83,Package RTU,,,,,,,"Reset thermostat, duty cycle freezers,
control MELs",,,,"CDB10, CDA30",OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
55,NetApp,field-testing,NetApp,,2013,,94089,Sunnyvale,CA,4,3C,data center,DataCenter,,101355,,816,Chiller + AHU + VAV,,,,,,,Space HVAC setpoints are raised to 78*F from 75*F. 50% of lights are turned off (and kept off by programming).,,,,"CDB10, CDA40",OAT_MA,"Ghatikar, G., Piette, M. A., Fujita, S., McKane, A., Dudley, J. H., Radspieler, A., É Shroyer, D. (2009). Demand Response and Open Automated Demand Response Opportunities for Data Centers. https://doi.org/10.2172/981725"
