site_name,Baseline,DR-Event-Day,DR-StartTime,DR-EndTime,kW_Max,kW_Ave,kW_Min,WBP%_Max,WBP%_Avg,WBP%_Min,W/ft2_Max,W/ft2_Avg,W/ft2_Min,source
Bank of America Concord Data Center,OAT_MA_CBL,10/13/04,14:45,15:45,-61.00,-103.00,,-0.01,-0.02,,-0.09,-0.15,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,OAT_MA_CBL,11/5/04,12:45,13:45,230.00,174.00,,0.05,0.04,,0.32,0.25,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,OAT_MA_CBL,11/5/04,13:45,14:45,224.00,186.00,,0.05,0.04,,0.32,0.26,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,OAT_MA_CBL,11/5/04,14:45,15:45,172.00,117.00,,0.04,0.03,,0.24,0.16,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Joe Serna Jr. Cal/EPA Headquarters Building,OAT_MA_CBL,11/5/04,12:45,13:45,271.00,138.00,,0.16,0.08,,0.29,0.15,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Joe Serna Jr. Cal/EPA Headquarters Building,OAT_MA_CBL,11/5/04,13:45,14:45,295.00,237.00,,0.17,0.14,,0.31,0.25,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Joe Serna Jr. Cal/EPA Headquarters Building,OAT_MA_CBL,11/5/04,14:45,15:45,108.00,35.00,,0.07,0.02,,0.11,0.04,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
CANMET Energy Technology Centre - Varennes,OAT_MA_CBL,11/5/04,,,,,,,,,,,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Cisco Systems,OAT_MA_CBL,11/5/04,12:45,13:45,271.00,138.00,,0.04,0.03,,0.23,0.18,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Cisco Systems,OAT_MA_CBL,11/5/04,13:45,14:45,295.00,237.00,,0.03,0.03,,0.22,0.19,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Cisco Systems,OAT_MA_CBL,11/5/04,14:45,15:45,108.00,35.00,,0.03,0.03,,0.19,0.16,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County 50 Douglas,OAT_MA_CBL,10/13/04,12:45,13:45,93.00,66.00,,0.25,0.18,,1.04,0.73,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County 50 Douglas,OAT_MA_CBL,10/13/04,13:45,14:45,120.00,102.00,,0.31,0.27,,1.34,1.13,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County 50 Douglas,OAT_MA_CBL,10/13/04,14:45,15:45,60.00,47.00,,0.17,0.12,,0.67,0.53,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County 50 Douglas,OAT_MA_CBL,11/5/04,12:45,13:45,35.00,27.00,,0.15,0.12,,0.39,0.29,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County 50 Douglas,OAT_MA_CBL,11/5/04,13:45,14:45,45.00,41.00,,0.19,0.18,,0.51,0.45,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County 50 Douglas,OAT_MA_CBL,11/5/04,14:45,15:45,31.00,29.00,,0.14,0.13,,0.34,0.32,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County Summit Center,OAT_MA_CBL,10/13/04,12:45,13:45,54.00,38.00,,0.14,0.10,,0.41,0.29,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County Summit Center,OAT_MA_CBL,10/13/04,13:45,14:45,68.00,62.00,,0.17,0.16,,0.52,0.47,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County Summit Center,OAT_MA_CBL,10/13/04,14:45,15:45,-3.00,-16.00,,-0.01,-0.04,,-0.03,-0.12,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County Summit Center,OAT_MA_CBL,11/5/04,12:45,13:45,63.00,50.00,,0.19,0.15,,0.48,0.38,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County Summit Center,OAT_MA_CBL,11/5/04,13:45,14:45,87.00,70.00,,0.27,0.22,,0.67,0.54,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County Summit Center,OAT_MA_CBL,11/5/04,14:45,15:45,41.00,31.00,,0.14,0.11,,0.32,0.24,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Echelon San Jose Headquarter,OAT_MA_CBL,10/13/04,12:45,13:45,21.00,3.00,,0.03,0.02,,0.10,0.05,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Echelon San Jose Headquarter,OAT_MA_CBL,10/13/04,13:45,14:45,47.00,33.00,,0.56,0.42,,1.81,1.34,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Echelon San Jose Headquarter,OAT_MA_CBL,10/13/04,14:45,15:45,42.00,-8.00,,0.48,0.11,,1.52,0.36,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Echelon San Jose Headquarter,OAT_MA_CBL,11/5/04,12:45,13:45,7.00,4.00,,0.03,0.02,,0.10,0.05,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Echelon San Jose Headquarter,OAT_MA_CBL,11/5/04,13:45,14:45,136.00,100.00,,0.56,0.42,,1.81,1.34,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Echelon San Jose Headquarter,OAT_MA_CBL,11/5/04,14:45,15:45,114.00,27.00,,0.48,0.11,,1.52,0.36,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Phillip Burton San Francisco Federal Building,OAT_MA_CBL,11/5/04,12:45,13:45,-111.00,-162.00,,-0.07,-0.10,,-0.08,-0.11,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Phillip Burton San Francisco Federal Building,OAT_MA_CBL,11/5/04,13:45,14:45,-38.00,-124.00,,-0.03,-0.08,,-0.03,-0.09,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Phillip Burton San Francisco Federal Building,OAT_MA_CBL,11/5/04,14:45,15:45,87.00,22.00,,0.06,0.02,,0.06,0.02,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA National Archives & Records Administration,OAT_MA_CBL,11/5/04,12:45,13:45,1.00,-5.00,,0.00,-0.02,,0.00,-0.02,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA National Archives & Records Administration,OAT_MA_CBL,11/5/04,13:45,14:45,15.00,6.00,,0.08,0.03,,0.08,0.03,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA National Archives & Records Administration,OAT_MA_CBL,11/5/04,14:45,15:45,29.00,23.00,,0.28,0.19,,0.14,0.11,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,OAT_MA_CBL,9/8/04,12:45,13:45,975.00,528.00,,0.28,0.15,,1.00,0.54,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
