site_name,data_source,Baseline,DR-Program,DR-Event-Day,DR-StartTime,DR-EndTime,max_oat,kW_Max,kW_Ave,kW_Min,WBP%_Max,WBP%_Avg,WBP%_Min,W/ft2_Max,W/ft2_Avg,W/ft2_Min,source
LimeAmps,field-testing,OAT_MA_CBL,,9/1/10,14:00,18:00,,7.71,1.4,-6.57,2.18,0.4,-1.86,0.38,0.07,-0.33,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/1/10,14:00,15:00,,8.96,3.26,-0.78,2.54,0.92,-0.22,0.42,0.16,-0.04,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/1/10,15:00,16:00,,5.96,3.27,-0.63,1.69,0.93,-0.18,0.31,0.17,-0.03,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/1/10,16:00,17:00,,3.44,-0.11,-6.07,0.97,-0.03,-1.72,0.15,-0.01,-0.3,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/1/10,17:00,18:00,,1.72,-1.33,-6.11,0.49,-0.38,-1.73,0.08,-0.07,-0.31,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/1/10,14:00,18:00,,8.96,1.27,-6.11,2.54,0.36,-1.73,0.42,0.06,-0.31,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/2/10,14:00,15:00,,3.46,0.11,-2.95,0.17,0.01,-0.13,0.98,0.03,-0.84,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/2/10,15:00,16:00,,6.83,2.81,0.88,0.35,0.14,0.04,1.93,0.8,0.25,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/2/10,16:00,17:00,,2.12,1.45,0.38,0.1,0.07,0.02,0.6,0.41,0.11,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/2/10,17:00,18:00,,1.99,-1.62,-6.11,0.09,-0.09,-0.32,0.56,-0.46,-1.73,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/2/10,14:00,18:00,,6.83,0.69,-6.11,0.35,0.03,-0.32,1.93,0.2,-1.73,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/2/10,14:00,15:00,,3.78,1.02,-2,0.18,0.05,-0.08,1.07,0.29,-0.57,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/2/10,15:00,16:00,,7.24,3.63,1.6,0.36,0.18,0.08,2.05,1.03,0.45,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/2/10,16:00,17:00,,3.67,2.88,2.21,0.17,0.12,0.1,1.04,0.82,0.63,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/2/10,17:00,18:00,,2.81,-0.13,-3.57,0.13,-0.01,-0.17,0.8,-0.04,-1.01,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/2/10,14:00,18:00,,7.24,1.85,-3.57,0.36,0.09,-0.17,2.05,0.52,-1.01,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/24/10,14:00,15:00,,0.32,-2.03,-4.69,0.01,-0.09,-0.21,0.09,-0.58,-1.33,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/24/10,15:00,16:00,,1.34,0.22,-1.91,0.07,0.01,-0.1,0.38,0.06,-0.54,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/24/10,16:00,17:00,,5.83,1.37,-1.89,0.24,0.06,-0.08,1.65,0.39,-0.53,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/24/10,17:00,18:00,,0.05,-2.95,-7.23,0,-0.14,-0.35,0.01,-0.84,-2.05,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/24/10,14:00,18:00,,5.83,-0.85,-7.23,0.24,-0.04,-0.35,1.65,-0.24,-2.05,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/24/10,14:00,15:00,,-1.73,-3.28,-4.58,-0.09,-0.16,-0.21,-0.49,-0.93,-1.3,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/24/10,15:00,16:00,,1.34,-0.41,-2.25,0.07,-0.02,-0.12,0.38,-0.12,-0.64,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/24/10,16:00,17:00,,4.99,0.76,-2.94,0.22,0.03,-0.13,1.41,0.22,-0.83,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/24/10,17:00,18:00,,-2.12,-4.88,-8.34,-0.09,-0.24,-0.42,-0.6,-1.38,-2.36,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/24/10,14:00,18:00,,4.99,-1.95,-8.34,0.22,-0.1,-0.42,1.41,-0.55,-2.36,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/27/10,14:00,15:00,,5.29,1.46,-0.16,0.22,0.06,-0.01,1.5,0.41,-0.05,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/27/10,15:00,16:00,,4,0.06,-3.43,0.18,0,-0.15,1.13,0.02,-0.97,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/27/10,16:00,17:00,,7.03,4.71,2.45,0.25,0.18,0.11,1.99,1.34,0.7,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/27/10,17:00,18:00,,1.73,1.22,0.91,0.07,0.05,0.04,0.49,0.34,0.26,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/27/10,14:00,18:00,,7.03,1.86,-3.43,0.25,0.07,-0.15,1.99,0.53,-0.97,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/27/10,14:00,15:00,,6.16,0.09,-3.4,0.24,0,-0.15,1.74,0.02,-0.96,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/27/10,15:00,16:00,,4.14,-0.45,-4.66,0.18,-0.02,-0.22,1.17,-0.13,-1.32,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/27/10,16:00,17:00,,5.98,3.92,1.41,0.23,0.15,0.06,1.69,1.11,0.4,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/27/10,17:00,18:00,,2.22,-0.98,-4.04,0.09,-0.05,-0.19,0.63,-0.28,-1.14,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/27/10,14:00,18:00,,6.16,0.64,-4.66,0.24,0.02,-0.22,1.74,0.18,-1.32,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/28/10,14:00,15:00,,2.25,-3.64,-7.27,0.08,-0.15,-0.29,0.64,-1.03,-2.06,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/28/10,15:00,16:00,,-3.59,-4.93,-8.08,-0.16,-0.22,-0.36,-1.02,-1.4,-2.29,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/28/10,16:00,17:00,,9.61,0.66,-4.16,0.34,0.02,-0.18,2.72,0.19,-1.18,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/28/10,17:00,18:00,,1.73,-0.67,-3.71,0.07,-0.03,-0.14,0.49,-0.19,-1.05,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/28/10,14:00,18:00,,9.61,-2.15,-8.08,2.72,-0.61,-2.29,0.34,-0.09,-0.36,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/28/10,14:00,15:00,,-1.43,-5.35,-8.54,-0.06,-0.23,-0.36,-0.4,-1.52,-2.42,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/28/10,15:00,16:00,,-3.77,-5.48,-7.36,-0.16,-0.24,-0.32,-1.07,-1.55,-2.09,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/28/10,16:00,17:00,,8.69,0.01,-3.24,0.32,0,-0.13,2.46,0,-0.92,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/28/10,17:00,18:00,,2.62,-2.38,-8.02,0.1,-0.11,-0.36,0.74,-0.67,-2.27,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/28/10,14:00,18:00,,8.69,-3.3,-8.54,2.46,-0.93,-2.42,0.32,-0.15,-0.36,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,10/7/10,14:00,15:00,,1.32,-1.03,-2.44,0.07,-0.07,-0.14,0.37,-0.29,-0.69,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,10/7/10,15:00,16:00,,3.25,-0.9,-6,0.19,-0.06,-0.37,0.92,-0.25,-1.7,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,10/7/10,16:00,17:00,,4.59,1.87,-1.41,0.24,0.1,-0.07,1.3,0.53,-0.4,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,10/7/10,17:00,18:00,,6.47,1.06,-1.79,0.35,0.06,-0.1,1.83,0.3,-0.51,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,10/7/10,14:00,18:00,,6.47,0.25,-6,0.35,0.01,-0.37,1.83,0.07,-1.7,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,10/7/10,14:00,15:00,,3.22,1.13,-1.2,0.15,0.05,-0.07,0.91,0.32,-0.34,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,10/7/10,15:00,16:00,,6.11,-0.52,-4.86,0.31,-0.04,-0.28,1.73,-0.15,-1.38,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,10/7/10,16:00,17:00,,3,1.15,-0.49,0.17,0.07,-0.02,0.85,0.33,-0.14,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,10/7/10,17:00,18:00,,6.75,0.92,-2.52,0.36,0.05,-0.13,1.91,0.26,-0.71,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,10/7/10,14:00,18:00,,6.75,0.67,-4.86,0.36,0.03,-0.28,1.91,0.19,-1.38,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,10/13/10,14:00,15:00,,5.57,-1.39,-10.03,0.21,-0.08,-0.47,1.58,-0.39,-2.84,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,10/13/10,15:00,16:00,,7.51,1.08,-6.79,0.32,0.03,-0.33,2.13,0.3,-1.92,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,10/13/10,16:00,17:00,,3.45,-0.95,-4.86,0.12,-0.04,-0.2,0.98,-0.27,-1.38,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,10/13/10,17:00,18:00,,2.54,-1.24,-4.48,0.11,-0.05,-0.19,0.72,-0.35,-1.27,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,10/13/10,14:00,18:00,,7.51,-0.63,-10.03,0.32,-0.04,-0.47,2.13,-0.18,-2.84,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,10/13/10,14:00,15:00,,4.76,-1.33,-9.08,0.18,-0.06,-0.4,1.35,-0.38,-2.57,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,10/13/10,15:00,16:00,,5.63,-0.86,-6.64,0.26,-0.04,-0.32,1.6,-0.24,-1.88,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,10/13/10,16:00,17:00,,-0.01,-2.7,-5.52,0,-0.12,-0.23,0,-0.76,-1.56,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,10/13/10,17:00,18:00,,1.63,-1.88,-5.85,0.07,-0.08,-0.26,0.46,-0.53,-1.66,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,10/13/10,14:00,18:00,,5.63,-1.69,-9.08,0.26,-0.08,-0.4,1.6,-0.48,-2.57,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/1/10,14:00,15:00,,-2.27,-5.91,-10.12,-0.09,-0.23,-0.39,-0.54,-1.41,-2.41,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/1/10,15:00,16:00,,2.54,-3.15,-10.71,0.09,-0.13,-0.45,0.6,-0.75,-2.55,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/1/10,16:00,17:00,,6.09,-1.31,-8.9,0.2,-0.06,-0.36,1.45,-0.31,-2.12,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/1/10,17:00,18:00,,6.5,1.96,-5.55,0.19,0.05,-0.2,1.55,0.47,-1.32,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,OAT_MA_CBL,,9/1/10,14:00,18:00,,6.5,-2.1,-10.71,0.2,-0.09,-0.45,1.55,-0.5,-2.55,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
LimeAmps,field-testing,10/10_CBL,,9/1/10,14:00,15:00,,-5.86,-9.13,-13.79,-0.28,-0.4,-0.63,-1.39,-2.17,-3.28,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
