site_name,data_source,Baseline,DR-Program,DR-Event-Day,DR-StartTime,DR-EndTime,max_oat,kW_Max,kW_Ave,kW_Min,WBP%_Max,WBP%_Avg,WBP%_Min,W/ft2_Max,W/ft2_Avg,W/ft2_Min,source
Bank of America Concord Data Center,field-testing,OAT_MA_CBL,,10/13/04,14:45,15:45,,-61,-103,,-0.01,-0.02,,-0.09,-0.15,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,230,174,,0.05,0.04,,0.32,0.25,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,224,186,,0.05,0.04,,0.32,0.26,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,172,117,,0.04,0.03,,0.24,0.16,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Joe Serna Jr. Cal/EPA Headquarters Building,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,271,138,,0.16,0.08,,0.29,0.15,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Joe Serna Jr. Cal/EPA Headquarters Building,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,295,237,,0.17,0.14,,0.31,0.25,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Joe Serna Jr. Cal/EPA Headquarters Building,field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,108,35,,0.07,0.02,,0.11,0.04,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Cisco Systems,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,271,138,,0.04,0.03,,0.23,0.18,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Cisco Systems,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,295,237,,0.03,0.03,,0.22,0.19,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Cisco Systems,field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,108,35,,0.03,0.03,,0.19,0.16,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County 50 Douglas,field-testing,OAT_MA_CBL,,10/13/04,12:45,13:45,,93,66,,0.25,0.18,,1.04,0.73,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County 50 Douglas,field-testing,OAT_MA_CBL,,10/13/04,13:45,14:45,,120,102,,0.31,0.27,,1.34,1.13,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County 50 Douglas,field-testing,OAT_MA_CBL,,10/13/04,14:45,15:45,,60,47,,0.17,0.12,,0.67,0.53,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County 50 Douglas,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,35,27,,0.15,0.12,,0.39,0.29,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County 50 Douglas,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,45,41,,0.19,0.18,,0.51,0.45,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County 50 Douglas,field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,31,29,,0.14,0.13,,0.34,0.32,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County Summit Center,field-testing,OAT_MA_CBL,,10/13/04,12:45,13:45,,54,38,,0.14,0.1,,0.41,0.29,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County Summit Center,field-testing,OAT_MA_CBL,,10/13/04,13:45,14:45,,68,62,,0.17,0.16,,0.52,0.47,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County Summit Center,field-testing,OAT_MA_CBL,,10/13/04,14:45,15:45,,-3,-16,,-0.01,-0.04,,-0.03,-0.12,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County Summit Center,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,63,50,,0.19,0.15,,0.48,0.38,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County Summit Center,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,87,70,,0.27,0.22,,0.67,0.54,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Contra Costa County Summit Center,field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,41,31,,0.14,0.11,,0.32,0.24,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
