,precool_deg,reset_deg,max_oat,shed_W_ft2,"Vintage, Climate"
797,2,6,60.98,0.240585874,"1980-2004, 3C"
798,3,4,60.98,0.231033435,"1980-2004, 3C"
799,3,5,60.98,0.240684659,"1980-2004, 3C"
800,3,6,60.98,0.241324154,"1980-2004, 3C"
801,4,4,60.98,0.233402178,"1980-2004, 3C"
802,4,5,60.98,0.240550069,"1980-2004, 3C"
803,4,6,60.98,0.240618322,"1980-2004, 3C"
804,0,4,60.08,0.149287067,"1980-2004, 3C"
805,0,5,60.08,0.15356187,"1980-2004, 3C"
806,0,6,60.08,0.153560459,"1980-2004, 3C"
807,2,4,60.08,0.15048318,"1980-2004, 3C"
808,2,5,60.08,0.151266173,"1980-2004, 3C"
809,2,6,60.08,0.151263755,"1980-2004, 3C"
810,3,4,60.08,0.149675973,"1980-2004, 3C"
811,3,5,60.08,0.149661536,"1980-2004, 3C"
812,3,6,60.08,0.149669593,"1980-2004, 3C"
813,4,4,60.08,0.149962394,"1980-2004, 3C"
814,4,5,60.08,0.149960591,"1980-2004, 3C"
815,4,6,60.08,0.14996019,"1980-2004, 3C"
816,0,4,60.08,0.180220848,"1980-2004, 3C"
817,0,5,60.08,0.191270264,"1980-2004, 3C"
818,0,6,60.08,0.194137205,"1980-2004, 3C"
819,2,4,60.08,0.184418642,"1980-2004, 3C"
820,2,5,60.08,0.191646758,"1980-2004, 3C"
821,2,6,60.08,0.193626965,"1980-2004, 3C"
822,3,4,60.08,0.186976706,"1980-2004, 3C"
823,3,5,60.08,0.192423052,"1980-2004, 3C"
824,3,6,60.08,0.193718636,"1980-2004, 3C"
825,4,4,60.08,0.188823197,"1980-2004, 3C"
826,4,5,60.08,0.193060127,"1980-2004, 3C"
827,4,6,60.08,0.19381186,"1980-2004, 3C"
828,0,4,64.04,0.254304551,"1980-2004, 3C"
829,0,5,64.04,0.287999335,"1980-2004, 3C"
830,0,6,64.04,0.300526074,"1980-2004, 3C"
831,2,4,64.04,0.27238722,"1980-2004, 3C"
832,2,5,64.04,0.29689378,"1980-2004, 3C"
833,2,6,64.04,0.299386083,"1980-2004, 3C"
834,3,4,64.04,0.280415951,"1980-2004, 3C"
835,3,5,64.04,0.297885884,"1980-2004, 3C"
836,3,6,64.04,0.298301989,"1980-2004, 3C"
837,4,4,64.04,0.286796425,"1980-2004, 3C"
838,4,5,64.04,0.298558662,"1980-2004, 3C"
839,4,6,64.04,0.298557603,"1980-2004, 3C"
840,0,4,60.98,0.18332965,"1980-2004, 3C"
841,0,5,60.98,0.19084939,"1980-2004, 3C"
842,0,6,60.98,0.193773819,"1980-2004, 3C"
843,2,4,60.98,0.185255005,"1980-2004, 3C"
844,2,5,60.98,0.190531733,"1980-2004, 3C"
845,2,6,60.98,0.192572856,"1980-2004, 3C"
846,3,4,60.98,0.185248973,"1980-2004, 3C"
847,3,5,60.98,0.190013796,"1980-2004, 3C"
848,3,6,60.98,0.191384394,"1980-2004, 3C"
849,4,4,60.98,0.186342118,"1980-2004, 3C"
850,4,5,60.98,0.190808359,"1980-2004, 3C"
851,4,6,60.98,0.191773433,"1980-2004, 3C"
852,0,4,69.98,0.293377384,"1980-2004, 3C"
853,0,5,69.98,0.338702333,"1980-2004, 3C"
854,0,6,69.98,0.362306613,"1980-2004, 3C"
855,2,4,69.98,0.312756903,"1980-2004, 3C"
856,2,5,69.98,0.348581455,"1980-2004, 3C"
857,2,6,69.98,0.364532958,"1980-2004, 3C"
858,3,4,69.98,0.323469485,"1980-2004, 3C"
859,3,5,69.98,0.35275313,"1980-2004, 3C"
