site_id,site_name,Short Name,city,state,bldg_type_sub,bldg_type,number_floor,total_floor_area_ft2,conditioned_floor_area_ft2,peak_kW,year_constructed,construction,hvac_type,hvac_plant,hvac_capacity,hvac_system,hvac_size_tons_sf,dr_strategy_implemented_1,dr_strategy_implemented_2,dr_strategy_implemented_3,dr_strategy_implemented_4,measure_code,baseline_model,Reference
12,GSA Ronald V. Dellums Oakland Federal Building,OFB,Oakland,CA,Federal Office,Office,1,1105000,978000,4100,,,"11 AHU 
22 varaible speed fans
47 smaller CV fans",chillers,"3@980 ton
2@450 ton","perimeter: dual duct VAV with reheat
core: single duct VAV without reheat",,"Global zone setup 72 F to 76 F
Global zone setback 70 F to 68 F","Global zone setup to 78F
Global zone setback to 66F",,,"CDB10, CDB11",OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
13,Kadant Grantek,Kadant,Green Bay,Wisconsin,Material Process,Industrial,1,100000,0,1440,,,,,,,,Transfer pump off,,,,CDA13,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
14,Monterey Commerce Center,Monterey,Monterey,CA,Commercial,Office,1,170000,"170,000*",N/A,,,4 RTU,,,VAV,,Lobby lights 33% off,,,,CDA40,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
15,OSIsoft,OSIsoft,San Leandro,CA,Office,Office,1,60000,60000,300,,,3 RTU,,"2@60 ton
1@30 ton",,,Global zone setup 72 F to 76 F,Global zone setup to 78F,,,CDB10,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
16,Roche Palo Alto,Roche,Palo Alto,CA,"Cafeteria
Auditorium",Restaurant,3,192000,192000,750,,,constant volume fans,chilled water is supplied by cental plant outside of the buildings,,,,Building-A2 supply fans off (50%),"Building-FS supply fans off (50%)
Building-SS supply fans off (50%)",,,CDA11,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
17,UC Santa Barbara Davidson Library,UCSB,Santa Barbara,CA,Library,Library,1,289000,289000,1090,,,,virtual central plant,,,,"Supply fan VFD 70% limit 
Economizer 100% open","Supply fan VFD 60% limit
Duct static pressure reset 0.4 IWC (partial) 
Heating/cooling valve close",,,"CDA11, CDB50",OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
18,"US Postal Service, San Jose Process & Distribution Center",USPS,San Jose,CA,Distribution Center,,1,390000,390000,1630,,,"constant volume package DX units: 17.5 tons (210 MBH), 5.0 tons(60MBH)","Chillers: 364 tons x2,Constant volume CW Pumps: 20 HP x3, Constant volumeCHW Pumps: 30 HP x3, Constant Volume CHW booster pump: 10 HP x1, Constant volume Cooling tower: 2 motors in each unit (40 HP/10 HP)",2@364 ton,,,Chiller demand 75% limit,Chiller demand 50% limit,,,CDA12,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
19,"Alameda County Water District, Headquarter",ACWD,Fremont,CA,"Office, lab",Office+Lab,1,51200,51200,347,,,,,,,,None.,"Boiler disabled,CHW setpoint raised to 50F
,Current limiting to 70%. 
,SAT increased from 55F to 65F for AHUs 1, 2, 3 and Lab AHU.
,DSP setpoint decreased from 1.5"" to 1.0"".
,Zone setpoint increased to 75F.",Zone setpoint increased to 78 F,?Extend shed control 2 hours(until 8 pm),"CDB10, CDB20, CDB40, CDB50",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
20,"Bank of America, Concord Technology Center",B of A,Concord,,"Office, data center",Office+DataCenter,4,616000,708000,5680,,,,,,,,None.,None.,"?Reduce DSP from 2.2"" to 1.4"".
?Lock fan VFD 3 minutes after the DSP reset.
?CHW setpoint increased
5 F at the secondary loop.?Lock cooling valve position at the AHU.",None.,"CDA11, CDB20, CDB50, CDB60",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
21,"Chabot Space and Science Center, Building 1&2",Chabot,Oakland,,Museum,Museum,2,86000,86000,333,,,,,,,,"?Free cooling when the OAT is below 62 F
?Pre-cooling until noon at 70 F average
zone temp.","?Drift zone setpoint to 74F, 4/3F each hour","?Drift zone setpoint to 78F, 4/3 F each hour",None.,"CDB10, CDB11",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
22,"Contra Costa County, 2530 Arnold",2530 Arnold,Martinez,,Office,Office,1,131000,131000,528,,,,,,,,None.,?Zone setpoint increased 2F. (76F to 78F),?Zone setpoint 4 F up. (80 F),"?VAV boxes are released one by one over a short
interval.",CDB10,OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
23,"Contra Costa County, 50 Douglas",50 Douglas,Martinez,,Office,Office,1,90000,90000,422,,,,,,,,None.,?Zone setpoint increased 2F. (76F to 78F),?Zone setpoint 4 F up. (80 F),"?VAV boxes are released one by one over a short
interval.",CDB10,OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
24,"Echelon, San Jose Headquarter",Echelon,San Jose,,"Corporate
Headquarter",Office,1,75000,75000,403,,,,,,,,None.,"?Hallway lighting turned off where there is ambient light
?Daylit office lights turned off.
?Inner office lights dimmed to 20%.","?1 of 3 RTU turned off.
?DSP reduced from 1.5"" to 0.8""
?SAT increased from 55 to 65F.",None.,"CDA40, CDA12, CDB50, CDB40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
25,"Fremont Unified School
District, Irvington High School",Irvington,Fremont,,Highschool,School,1,186000,186000,N/A,,,,,,,,"?Precooling to 72 F until
11:50 a.m.",?Raise temperature to 78F until 2:50 p.m.,"?Turn off systems at 2:50pm. School closes at
3pm. Office areas drift.",None.,"CDB10, CDB11",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
26,"Gilead Science, 300 Lakeside Dr.",Gilead 300,Foster City,,Office,Office,1,83000,83000,N/A,,,,,,,,"?Shed control
starts at 11 am.","?AHU increase SAT from 55F
to 65F.",?Same as moderate price.,None.,"CDB10, CDB40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
27,"Gilead Science, 342 Lakeside Dr.",Gilead 342,Foster City,,"Office, Lab",Office+Lab,1,32000,32000,464,,,,,,,,? Shed control starts at 11 am,"?AHU increase SAT from 55F to 65F.
?Zone setpoint increase to 75F (70 - 75F normal).",?Same as moderate price.,None.,"CDB10, CDB40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
28,"Gilead Science, 357 Lakeside Dr.",Gilead 357,Foster City,,"Office, Lab",Office+Lab,1,33000,33000,664,,,,,,,,? Shed control starts at 11 am,"?AHU SAT increased from 55F to 65F.
?Zone setpoint increased to 75F (70 - 75F normal).",?Same as moderate price.,None.,"CDB10, CDB40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
29,"IKEA, East Palo Alto Store",IKEA,"East Palo
Alto",,Retail,Retail,1,300000,300000,2238,,,,,,,,None.,"?Zone setpoint increased 2F
at each RTU.","?Zone setpoints increased
to 76 F.",None.,CDB10,OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
30,"Lawrence Berkeley National Laboratory, Oakland Scientific Facility",LBNL OSF,Oakland,,"Data center, Office",Office+DataCenter,1,90000,70000,2189,,,,,,,,"?Zone setpoint - 0 to 2F decrease
in the morning for pre cooling.",?Zone setpoint 2 - 6F up.,?Zone setpoints increased a maximum of 6 F up.,None.,"CDB10, CDB11",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
31,"Oracle Corporation, Rocklin",Oracle,Rocklin,,Office,Office,2,100000,100000,808,,,,,,,,None.,"?DSP reduced 20% at supply fans.
?Shut off 3 of 12 RTUs
in the sales area (building has 23 RTUs total).
?Shut off 5 RTUs in the sales area after October 6th.
?Limit chiller demand to 80%.","?Zone setpoints increased 3F.
?Turn off every fourth light fixture in the sales area.
?Limit chiller demand to 65%.",None.,"CDA12, CDB10, CDB50, CDA40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
32,"Target, Hayward Store",Target,Hayward,,Retail,Retail,1,130000,130000,428,,,,,,,,None.,,,None.,"CDB10, CDA40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
33,"United States Postal Service, San Jose Process and Distribution Center",USPS,San Jose,,Postal service,Office,1,390000,390000,1676,,,,,,,,None.,,,"?The chiller demand limit will be increased in 5% increments
with 15-30 minutes per step change",CDA12,OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
34,Alameda County Water,ACWD,Fremont,CA,"Office, lab",Office+Lab,1,51200,51200,348,,,,,,,,Table 6 summay,,,,"CDB10, CDB20, CDB40, CDB50, CDB60",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
35,"Bank of America, Concord",Office/Data Center,Concord,,"Office, data center",Office+DataCenter,4,616000,708000,5712,,,,,,,,,,,,"CDB20, CDB40, CDB50, CDB60, CDA11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
36,Chabot Space and Scienc,Chabot,Oakland,,Museum,Museum,2,86000,86000,336,,,,,,,,,,,,"CDB10, CDB11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
37,"Contra Costa County, 2530 Arnold",2530 Arnold,Martinez,,Office,Office,1,131000,131000,536,,,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
38,"Contra Costa County, 50 Douglas",50 Douglas,Martinez,,Office,Office,1,90000,90000,459,,,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
39,MDF,MDF,Martinez,,Detention Facility,Detention Facility,1,172300,172300,561,,,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
40,Echelon,Echelon,San Jose,,Hi-tech office,Office,1,75000,75000,523,,,,,,,,,,,,"CDB10, CDB20, CDB40, CDA11, CDA40",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
41,Fremont Unified School Centerville,Centerville,Fremont,,Junior High school,School,1,NA,NA,332,,,,,,,,,,,,"CDB10, CDB11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
42,Fremont Unified School Irvington,Irvington,Fremont,,High school,School,1,186000,186000,446,,,,,,,,,,,,"CDB10, CDB11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
43,"Gilead Science, 300 Lake",Gilead 300,Foster City,,Office,Office,1,83000,83000,288,,,,,,,,,,,,CDB40,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
44,"Gilead Science, 342 Lake",Gilead 342,Foster City,,"Office, Lab",Office+Lab,1,32000,32000,495,,,,,,,,,,,,"CDB10, CDB40",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
45,"Gilead Science, 357 Lake",Gilead 357,Foster City,,"Office, Lab",Office+Lab,1,33000,33000,662,,,,,,,,,,,,"CDB10, CDB40",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
46,"IKEA, East Palo Alto St",IKEA EPaloAlto,East Palo Alto,,Furniture retail,Retail Furniture,1,300000,300000,1191,,,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
47,"IKEA, Emeryville",IKEA Emeryville,Emeryville,,Furniture retail,Retail Furniture,1,274000,274000,1466,,,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
48,"Oracle Corporation, Roc",Oracle Rocklin,Rocklin,,Office,Office,2,100000,100000,808,,,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
49,"Solectron, Corporate He",Solectron,Milpitas,,"Office, Manufacture",Office,9,499206,499206,4655,,,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
50,Svenhard's Swedish Bak,Svenhard's,Oakland,,Bakery,Restaurant,1,101000,101000,696,,,,,,,,,,,,CDA40,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
51,"Sybase, Corporate Head",Sybase,Pleasanton,,Hi-tech office,Office,2,425000,425000,1995,,,,,,,,,,,,CDA40,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
52,"Target, Hayward Store",Target Hayward,Hayward,,Retail,Retail,1,130000,130000,449,,,,,,,,,,,,"CDB10, CDA11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
53,"Target, Antioch Store",Target Antioch,Antioch,,Retail,Retail,1,140686,140686,572,,,,,,,,,,,,"CDB10, CDA11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
54,"Target, Bakersfield Store",Target Bakersfield,Bakersfield,,Retail,Retail,1,143941,143941,645,,,,,,,,,,,,"CDB10, CDA11, CDA40",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
55,Trane,,Rocklin,CA,"Warehouse, office",Warehouse,,25000,,319.23,,Concrete tilt up structure with wood trusses and white roof,Ten constant volume RTU’s each with 2 stage compressors,,,,,"Precool, reset thermostat",,,,"CDB10, CDB11","OAT_MA
10/10","Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
56,LimeAmps Santa Rosa,,Santa Rosa,,Convenience store,Retail,,3531,,33.83,,,2 single stage constant volume 4 ton units; compressors at ground level,,,,,"Duty cycle HVAC, deli counter, and ice machine",,,,"CDA12, CDA30","OAT_MA
10/10","Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
57,LimeAmps Sebastopol,,Sebastopol,,Restaurant,Restaurant,,4200,,44.79,,,3 packaged units: Two 5 ton units and one 4 ton unit,,,,,"Duty cycle HVAC, walk?in cooler",,,,"CDA12, CDA30","OAT_MA
10/10","Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
58,Our Home Spaces,,Novato,,Small office,Office,,800,,6.09,,,,,,,,Reset thermostat,,,,CDB10,"OAT_MA
10/10","Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
59,InThrMa,,Pittsburg,,Pre-school,School,,18250,,56.96,,,2 constant volume units,,,,,"Reset thermostats,
duty cycle appliances",,,,"CDB10, CDA30","OAT_MA
10/10","Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
60,Lutron,,Oakland,,Small office,Office,,20000,,71.38,,,,,,,,Reduce lighting levels by zones,,,,CDA40,"OAT_MA
10/10","Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
61,Enmetric,,Palo Alto,,Small office,Office,,13000,,25.84,,,,,,,,Control MELs (plug loads),,,,CDA30,"OAT_MA
10/10","Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
62,EnergyETC,,Union City,,Small office,Office,,2200,,6.59,,,One constant volume single compressor RTU,,,,,Reset thermostat,,,,CDB10,"OAT_MA
10/10","Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
63,Applied Power Technologies,,Campbell,,Small office,Office,,2070,,18.24,,,"2 RTU’s rated 20A and 16A, respectively",,,,,"Reduce lighting levels by zone, reset
thermostat",,,,"CDB10, CDA40","OAT_MA
10/10","Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
64,HD Supply,,Salinas,,"Food warehouse, small retail",Retail,,6000,,25.83,,,,,,,,"Reset thermostat, duty cycle freezers,
control MELs",,,,"CDB10, CDA30","OAT_MA
10/10","Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
65,NetApp,NetApp,8-May,CA,data center,DataCenter,,101355,,,,,,,,,,Space HVAC setpoints are raised to 78F from 75F. 50% of lights are turned off (and kept off by programming).,,,,"CDB10, CDA40","OAT_MA
10/10","Ghatikar, G., Piette, M. A., Fujita, S., McKane, A., Dudley, J. H., Radspieler, A., … Shroyer, D. (2009). Demand Response and Open Automated Demand Response Opportunities for Data Centers. https://doi.org/10.2172/981725"
